,national_number,gen,english_name,japanese_name,classification,primary_type,secondary_type,description,col_name,egg_group,color,habitat,shape
222,223,II,Remoraid,Teppouo,Jet Pokémon,water,,The water they shoot from their mouths can hit moving prey from more than 300 feet away.,,water2,gray,sea,fish
223,224,II,Octillery,Okutank,Jet Pokémon,water,,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.,,water2,red,sea,tentacles
224,225,II,Delibird,Delibird,Delivery Pokémon,ice,flying,It carries food all day long. There are tales about lost people who were saved by the food it had.,,ground,red,mountain,wings
225,226,II,Mantine,Mantain,Kite Pokémon,water,flying,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet.",,water1,purple,sea,wings
226,227,II,Skarmory,Airmd,Armor Bird Pokémon,steel,flying,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.,,flying,gray,rough-terrain,wings
227,228,II,Houndour,Delvil,Dark Pokémon,dark,fire,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders.",,ground,black,rough-terrain,quadruped
228,229,II,Houndoom,Hellgar,Dark Pokémon,dark,fire,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.,,ground,black,rough-terrain,quadruped
229,230,II,Kingdra,Kingdra,Dragon Pokémon,water,dragon,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues.",,dragon,blue,sea,blob
230,231,II,Phanpy,Gomazou,Long Nose Pokémon,ground,,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed.",,ground,blue,rough-terrain,quadruped
231,232,II,Donphan,Donfan,Armor Pokémon,ground,,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily.",,ground,gray,rough-terrain,quadruped
232,233,II,Porygon2,Porygon2,Virtual Pokémon,normal,,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.,,mineral,red,urban,legs
233,234,II,Stantler,Odoshishi,Big Horn Pokémon,normal,,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",,ground,brown,forest,quadruped
234,235,II,Smeargle,Doble,Painter Pokémon,normal,,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.,,ground,white,urban,upright
235,236,II,Tyrogue,Balkie,Scuffle Pokémon,fighting,,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses.",,no-eggs,purple,urban,humanoid
236,237,II,Hitmontop,Kapoerer,Handstand Pokémon,fighting,,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",,humanshape,brown,urban,upright
237,238,II,Smoochum,Muchul,Kiss Pokémon,ice,psychic,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care.",,no-eggs,pink,urban,humanoid
238,239,II,Elekid,Elekid,Electric Pokémon,electric,,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy.",,no-eggs,yellow,grassland,humanoid
239,240,II,Magby,Buby,Live Coal Pokémon,fire,,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose.",,no-eggs,red,mountain,upright
240,241,II,Miltank,Miltank,Milk Cow Pokémon,normal,,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times.",,ground,pink,grassland,upright
241,242,II,Blissey,Happinas,Happiness Pokémon,normal,,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better.",,fairy,pink,urban,humanoid
242,243,II,Raikou,Raikou,Thunder Pokémon,electric,,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,,no-eggs,yellow,grassland,quadruped
243,244,II,Entei,Entei,Volcano Pokémon,fire,,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,,no-eggs,brown,grassland,quadruped
244,245,II,Suicune,Suicune,Aurora Pokémon,water,,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,,no-eggs,blue,grassland,quadruped
245,246,II,Larvitar,Yogiras,Rock Skin Pokémon,rock,ground,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil.",,monster,green,mountain,upright
246,247,II,Pupitar,Sanagiras,Hard Shell Pokémon,rock,ground,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power.",,monster,gray,mountain,squiggle
247,248,II,Tyranitar,Bangiras,Armor Pokémon,rock,dark,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies.",,monster,green,mountain,upright
248,249,II,Lugia,Lugia,Diving Pokémon,psychic,flying,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.",,no-eggs,white,rare,wings
249,250,II,Ho-Oh,Houou,Rainbow Pokémon,fire,flying,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,,no-eggs,red,rare,wings
250,251,II,Celebi,Celebi,Time Travel Pokémon,psychic,grass,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.",,no-eggs,green,forest,humanoid
251,252,III,Treecko,Kimori,Wood Gecko Pokémon,grass,,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.,,dragon,green,forest,upright
252,253,III,Grovyle,Juptile,Wood Gecko Pokémon,grass,,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.,,dragon,green,forest,upright
253,254,III,Sceptile,Jukain,Forest Pokémon,grass,,The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.,,dragon,green,forest,upright
254,255,III,Torchic,Achamo,Chick Pokémon,fire,,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black.",,ground,red,grassland,legs
255,256,III,Combusken,Wakasyamo,Young Fowl Pokémon,fire,fighting,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon’s legs possess both speed and power, enabling it to dole out 10 kicks in one second.",,ground,red,grassland,upright
256,257,III,Blaziken,Bursyamo,Blaze Pokémon,fire,fighting,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn.",,ground,red,grassland,upright
257,258,III,Mudkip,Mizugorou,Mud Fish Pokémon,water,,"The fin on Mudkip’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes.",,water1,blue,waters-edge,quadruped
258,259,III,Marshtomp,Numacraw,Mud Fish Pokémon,water,ground,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low.",,water1,blue,waters-edge,upright
259,260,III,Swampert,Laglarge,Mud Fish Pokémon,water,ground,Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.,,water1,blue,waters-edge,upright
260,261,III,Poochyena,Pochiena,Bite Pokémon,dark,,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back.",,ground,gray,grassland,quadruped
261,262,III,Mightyena,Graena,Bite Pokémon,dark,,Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs.,,ground,gray,grassland,quadruped
262,263,III,Zigzagoon,Jiguzaguma,Tiny Racoon Pokémon,normal,dark,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.,,ground,brown,grassland,quadruped
263,264,III,Linoone,Massuguma,Rush Pokémon,normal,dark,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.,,ground,white,grassland,quadruped
264,265,III,Wurmple,Kemusso,Worm Pokémon,bug,,"Using the spikes on its rear end, Wurmple peels the bark off trees and feeds on the sap that oozes out. This Pokémon’s feet are tipped with suction pads that allow it to cling to glass without slipping.",,bug,red,forest,armor
265,266,III,Silcoon,Karasalis,Cocoon Pokémon,bug,,"Silcoon tethers itself to a tree branch using silk to keep from falling. There, this Pokémon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole.",,bug,white,forest,ball
266,267,III,Beautifly,Agehunt,Butterfly Pokémon,bug,flying,"Beautifly’s favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen.",,bug,yellow,forest,bug-wings
267,268,III,Cascoon,Mayuld,Cocoon Pokémon,bug,,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon.",,bug,purple,forest,ball
268,269,III,Dustox,Dokucale,Poison Moth Pokémon,bug,poison,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food.",,bug,green,forest,bug-wings
269,270,III,Lotad,Hassboh,Water Weed Pokémon,water,grass,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.",,plant,green,waters-edge,armor
270,271,III,Lombre,Hasubrero,Jolly Pokémon,water,grass,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.,,plant,green,waters-edge,humanoid
271,272,III,Ludicolo,Runpappa,Carefree Pokémon,water,grass,"The rhythm of bright, festive music activates Ludicolo’s cells, making it more powerful.",,plant,green,waters-edge,humanoid
272,273,III,Seedot,Taneboh,Acorn Pokémon,grass,,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon.",,plant,brown,forest,legs
273,274,III,Nuzleaf,Konohana,Wily Pokémon,grass,dark,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy.",,plant,brown,forest,humanoid
274,275,III,Shiftry,Dirteng,Wickid Pokémon,grass,dark,A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action.,,plant,brown,forest,humanoid
275,276,III,Taillow,Subame,TinySwallow Pokémon,normal,flying,"Taillow courageously stands its ground against foes, however strong they may be. This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry.",,flying,blue,grassland,wings
276,277,III,Swellow,Ohsubame,Swallow Pokémon,normal,flying,"Swellow flies high above our heads, making graceful arcs in the sky. This Pokémon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by Swellow’s clawed feet, preventing escape.",,flying,blue,grassland,wings
277,278,III,Wingull,Camome,Seagull Pokémon,water,flying,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies.",,flying,white,sea,wings
278,279,III,Pelipper,Pelipper,Water Bird Pokémon,water,flying,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill.",,flying,yellow,sea,wings
279,280,III,Ralts,Ralts,Feeling Pokémon,psychic,fairy,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.,,indeterminate,white,urban,humanoid
280,281,III,Kirlia,Kirlia,Emotion Pokémon,psychic,fairy,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about.",,indeterminate,white,urban,humanoid
281,282,III,Gardevoir,Sirnight,Embrace Pokémon,psychic,fairy,It has the power to predict the future. Its power peaks when it is protecting its Trainer.,,indeterminate,white,urban,humanoid
282,283,III,Surskit,Ametama,Pond Skater Pokémon,bug,water,"If it’s in a pinch, it will secrete a sweet liquid from the tip of its head. Syrup made from gathering that liquid is tasty on bread.",,bug,blue,waters-edge,armor
283,284,III,Masquerain,Amemoth,Eyeball Pokémon,bug,flying,"Masquerain intimidates enemies with the eyelike patterns of its eyespots. If that doesn’t work, it deftly makes its escape on its set of four wings.",,bug,blue,waters-edge,bug-wings
284,285,III,Shroomish,Kinococo,Mushroom Pokémon,grass,,"Shroomish live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This Pokémon feeds on compost that is made up of fallen, rotted leaves.",,plant,brown,forest,legs
285,286,III,Breloom,Kinogassa,Mushroom Pokémon,grass,fighting,"Breloom closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This Pokémon’s fighting technique puts boxers to shame.",,plant,green,forest,upright
286,287,III,Slakoth,Namakero,Slacker Pokémon,normal,,"Slakoth lolls around for over 20 hours every day. Because it moves so little, it does not need much food. This Pokémon’s sole daily meal consists of just three leaves.",,ground,brown,forest,quadruped
287,288,III,Vigoroth,Yarukimono,Wild Monkey Pokémon,normal,,Vigoroth is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This Pokémon’s stress level rises if it can’t be moving constantly.,,ground,white,forest,upright
288,289,III,Slaking,Kekking,Lazy Pokémon,normal,,"Slaking spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this Pokémon reluctantly moves to another spot.",,ground,brown,forest,humanoid
289,290,III,Nincada,Tutinin,Trainee Pokémon,bug,ground,"Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead.",,bug,gray,forest,armor
290,291,III,Ninjask,Tekkanin,Ninja Pokémon,bug,flying,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.,,bug,yellow,forest,bug-wings
291,292,III,Shedinja,Nukenin,Shed Pokémon,bug,ghost,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.,,mineral,brown,forest,blob
292,293,III,Whismur,Gonyonyo,Whisper Pokémon,normal,,"The cry of a Whismur is over 100 decibels. If you’re close to a Whismur when it lets out a cry, you’ll be stuck with an all-day headache.",,ground,pink,cave,upright
293,294,III,Loudred,Dogohmb,Big Voice Pokémon,normal,,"Loudred’s ears serve as speakers, and they can put out sound waves powerful enough to blow away a house.",,ground,blue,cave,upright
294,295,III,Exploud,Bakuong,Loud Noise Pokémon,normal,,"In the past, people would use the loud voices of these Pokémon as a means of communication between distant cities.",,ground,blue,cave,upright
295,296,III,Makuhita,Makunoshita,Guts Pokémon,fighting,,It practices its slaps by repeatedly slapping tree trunks. It has been known to slap an Exeggutor and get flung away.,,humanshape,yellow,mountain,humanoid
296,297,III,Hariyama,Hariteyama,Arm Thrust Pokémon,fighting,,"Although they enjoy comparing their strength, they’re also kind. They value etiquette, praising opponents they battle.",,humanshape,brown,mountain,humanoid
297,298,III,Azurill,Ruriri,Polka Dot Pokémon,normal,fairy,"The ball on Azurill’s tail bounces like a rubber ball, and it’s full of the nutrients the Pokémon needs to grow.",,no-eggs,blue,waters-edge,legs
298,299,III,Nosepass,Nosepass,Compass Pokémon,rock,,"It moves less than an inch a year, but when it’s in a jam, it will spin and drill down into the ground in a split second.",,mineral,gray,cave,humanoid
299,300,III,Skitty,Eneco,Kitten Pokémon,normal,,Skitty has the habit of becoming fascinated by moving objects and chasing them around. This Pokémon is known to chase after its own tail and become dizzy.,,fairy,pink,forest,quadruped
300,301,III,Delcatty,Enekororo,Prim Pokémon,normal,,"Delcatty prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this Pokémon eats and sleeps whenever it decides, its daily routines are completely random.",,fairy,purple,forest,quadruped
301,302,III,Sableye,Yamirami,Darkness Pokémon,dark,ghost,"This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away.",,humanshape,purple,cave,humanoid
302,303,III,Mawile,Kucheat,Deceiver Pokémon,steel,fairy,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws.",,fairy,black,cave,humanoid
303,304,III,Aron,Cokodora,Iron Armor Pokémon,steel,rock,It eats iron ore—and sometimes railroad tracks— to build up the steel armor that protects its body.,,monster,gray,mountain,quadruped
304,305,III,Lairon,Kodora,Iron Armor Pokémon,steel,rock,"Lairon live in mountains brimming with spring water and iron ore, so these Pokémon often came into conflict with humans in the past.",,monster,gray,mountain,quadruped
305,306,III,Aggron,Bossgodora,Iron Armor Pokémon,steel,rock,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.,,monster,gray,mountain,upright
306,307,III,Meditite,Asanan,Meditate Pokémon,fighting,psychic,"Meditite undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this Pokémon always loses its concentration and focus. As a result, its training never ends.",,humanshape,blue,mountain,humanoid
307,308,III,Medicham,Charem,Meditate Pokémon,fighting,psychic,"It is said that through meditation, Medicham heightens energy inside its body and sharpens its sixth sense. This Pokémon hides its presence by merging itself with fields and mountains.",,humanshape,red,mountain,humanoid
308,309,III,Electrike,Rakurai,Lightning Pokémon,electric,,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.,,ground,green,grassland,quadruped
309,310,III,Manectric,Livolt,Discharge Pokémon,electric,,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well.",,ground,yellow,grassland,quadruped
310,311,III,Plusle,Prasle,Cheering Pokémon,electric,,"Plusle always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this Pokémon shorts out its body to create the crackling noises of sparks to show its joy.",,fairy,yellow,grassland,upright
311,312,III,Minun,Minun,Cheering Pokémon,electric,,Minun is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,,fairy,yellow,grassland,upright
312,313,III,Volbeat,Barubeat,Firefly Pokémon,bug,,"With the arrival of night, Volbeat emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This Pokémon is attracted by the sweet aroma of Illumise.",,humanshape,gray,forest,upright
313,314,III,Illumise,Illumise,Firefly Pokémon,bug,,"Illumise attracts a swarm of Volbeat using a sweet fragrance. Once the Volbeat have gathered, this Pokémon leads the lit-up swarm in drawing geometric designs on the canvas of the night sky.",,humanshape,purple,forest,humanoid
314,315,III,Roselia,Roselia,Thorn Pokémon,grass,poison,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.",,plant,green,grassland,humanoid
315,316,III,Gulpin,Gokulin,Stomach Pokémon,poison,,"Virtually all of Gulpin’s body is its stomach. As a result, it can swallow something its own size. This Pokémon’s stomach contains a special fluid that digests anything.",,indeterminate,green,grassland,arms
316,317,III,Swalot,Marunoom,Poison Bag Pokémon,poison,,"When Swalot spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this Pokémon gulps it down whole with its cavernous mouth.",,indeterminate,purple,grassland,arms
317,318,III,Carvanha,Kibanha,Savage Pokémon,water,dark,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group.",,water2,red,sea,fish
318,319,III,Sharpedo,Samehader,Brutal Pokémon,water,dark,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph.",,water2,blue,sea,fish
319,320,III,Wailmer,Hoeruko,Ball Whale Pokémon,water,,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,,water2,blue,sea,fish
320,321,III,Wailord,Whaloh,Float Whale Pokémon,water,,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.,,water2,blue,sea,fish
321,322,III,Numel,Donmel,Numb Pokémon,fire,ground,"Numel is extremely dull witted—it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokémon’s body is a seething cauldron of boiling magma.",,ground,yellow,mountain,quadruped
322,323,III,Camerupt,Bakuuda,Eruption Pokémon,fire,ground,"Camerupt has a volcano inside its body. Magma of 18,000 degrees Fahrenheit courses through its body. Occasionally, the humps on this Pokémon’s back erupt, spewing the superheated magma.",,ground,red,mountain,quadruped
323,324,III,Torkoal,Cotoise,Coal Pokémon,fire,,It burns coal inside its shell for energy. It blows out black soot if it is endangered.,,ground,brown,mountain,quadruped
324,325,III,Spoink,Baneboo,Bounce Pokémon,psychic,,"Spoink bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this Pokémon cannot afford to stop bouncing—if it stops, its heart will stop.",,ground,black,mountain,arms
325,326,III,Grumpig,Boopig,Manipulate Pokémon,psychic,,"Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokémon uses its special power, its snorting breath grows labored.",,ground,purple,mountain,upright
326,327,III,Spinda,Patcheel,Spot Panda Pokémon,normal,,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.,,humanshape,brown,mountain,upright
327,328,III,Trapinch,Nuckrar,Ant Pit Pokémon,ground,,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape.",,dragon,brown,rough-terrain,armor
328,329,III,Vibrava,Vibrava,Vibration Pokémon,ground,dragon,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.,,dragon,green,rough-terrain,bug-wings
329,330,III,Flygon,Flygon,Mystic Pokémon,ground,dragon,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.,,dragon,green,rough-terrain,wings
330,331,III,Cacnea,Sabonea,Cactus Pokémon,grass,,"Cacnea lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this Pokémon shoots sharp thorns from its body to bring the victim down.",,humanshape,green,rough-terrain,humanoid
331,332,III,Cacturne,Noctus,Scarecrow Pokémon,grass,dark,"During the daytime, Cacturne remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pokémon becomes active at night when the temperature drops.",,humanshape,green,rough-terrain,humanoid
332,333,III,Swablu,Tyltto,Cotton Bird Pokémon,normal,flying,"Its cottony wings are full of air, making them light and fluffy to the touch. Swablu takes diligent care of its wings.",,dragon,blue,forest,wings
333,334,III,Altaria,Tyltalis,Humming Pokémon,dragon,flying,"As it flies in a calm and relaxed manner, Altaria performs a humming song that would enrapture any audience.",,dragon,blue,forest,wings
334,335,III,Zangoose,Zangoose,Cat Ferret Pokémon,normal,,Memories of battling its archrival Seviper are etched into every cell of Zangoose’s body. This Pokémon adroitly dodges attacks with incredible agility.,,ground,white,grassland,upright
335,336,III,Seviper,Habunake,Fang Snake Pokémon,poison,,Seviper shares a generations-long feud with Zangoose. The scars on its body are evidence of vicious battles. This Pokémon attacks using its sword-edged tail.,,dragon,black,grassland,squiggle
336,337,III,Lunatone,Lunatone,Meteorite Pokémon,rock,psychic,The phase of the moon apparently has some effect on its power. It’s active on the night of a full moon.,,mineral,yellow,cave,ball
337,338,III,Solrock,Solrock,Meteorite Pokémon,rock,psychic,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes.",,mineral,red,cave,ball
338,339,III,Barboach,Dojoach,Whiskers Pokémon,water,ground,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud.",,water2,gray,waters-edge,fish
339,340,III,Whiscash,Namazun,Whiskers Pokémon,water,ground,"It makes its nest at the bottom of swamps. It will eat anything—if it is alive, Whiscash will eat it.",,water2,blue,waters-edge,fish
340,341,III,Corphish,Heigani,Ruffian Pokémon,water,,"No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive.",,water3,red,waters-edge,armor
341,342,III,Crawdaunt,Shizariger,Rogue Pokémon,water,dark,A rough customer that wildly flails its giant claws. It is said to be extremely hard to raise.,,water3,red,waters-edge,armor
342,343,III,Baltoy,Yajilon,Clay Doll Pokémon,ground,psychic,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.,,mineral,brown,rough-terrain,arms
343,344,III,Claydol,Nendoll,Clay Doll Pokémon,ground,psychic,"This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago.",,mineral,black,rough-terrain,arms
344,345,III,Lileep,Lilyla,Sea Lily Pokémon,rock,grass,"This Pokémon was restored from a fossil. Lileep once lived in warm seas that existed approximately 100,000,000 years ago.",,water3,purple,sea,blob
345,346,III,Cradily,Yuradle,Barnacle Pokémon,rock,grass,"It has short legs and can’t walk very fast, but its neck and tentacles can extend to over three times their usual length to nab distant prey.",,water3,green,sea,blob
346,347,III,Anorith,Anopth,Old Shrimp Pokémon,rock,bug,"This Pokémon was restored from a fossil. Anorith lived in the ocean about 100,000,000 years ago, hunting with its pair of claws.",,water3,gray,waters-edge,armor
347,348,III,Armaldo,Armaldo,Plate Pokémon,rock,bug,"After evolution, this Pokémon emerged onto land. Its lower body has become stronger, and blows from its tail are devastating.",,water3,gray,waters-edge,upright
348,349,III,Feebas,Hinbass,Fish Pokémon,water,,"Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research.",,dragon,brown,waters-edge,fish
349,350,III,Milotic,Milokaross,Tender Pokémon,water,,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.,,dragon,pink,waters-edge,squiggle
350,351,III,Castform,Powalen,Weather Pokémon,normal,fire,"Although its form changes with the weather, that is apparently the result of a chemical reaction and not the result of its own free will.",,indeterminate,gray,grassland,ball
351,352,III,Kecleon,Kakureon,Color Swap Pokémon,normal,,"It changes its hue to blend into its surroundings. If no one takes notice of it for too long, it will pout and never reveal itself.",,ground,green,forest,upright
352,353,III,Shuppet,Kagebouzu,Puppet Pokémon,ghost,,"It eats up emotions like malice, jealousy, and resentment, so some people are grateful for its presence.",,indeterminate,black,urban,ball
353,354,III,Banette,Juppeta,Marionette Pokémon,ghost,,"It’s a stuffed toy that was thrown away and became possessed, ever searching for the one who threw it away so it can exact its revenge.",,indeterminate,black,urban,upright
354,355,III,Duskull,Yomawaru,Requiem Pokémon,ghost,,"If it finds bad children who won’t listen to their parents, it will spirit them away—or so it’s said.",,indeterminate,black,forest,arms
355,356,III,Dusclops,Samayouru,Beckon Pokémon,ghost,,"Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole.",,indeterminate,black,forest,humanoid
356,357,III,Tropius,Tropius,Fruit Pokémon,grass,flying,The bunches of fruit growing around the necks of Tropius in Alola are especially sweet compared to those in other regions.,,plant,green,forest,quadruped
357,358,III,Chimecho,Chirean,Wind Chime Pokémon,psychic,,"Chimecho makes its cries echo inside its hollow body. When this Pokémon becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying.",,indeterminate,blue,grassland,arms
358,359,III,Absol,Absol,Disaster Pokémon,dark,,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters.",,ground,white,mountain,quadruped
359,360,III,Wynaut,Sohnano,Bright Pokémon,psychic,,It tends to move in a pack. Individuals squash against one another to toughen their spirits.,,no-eggs,blue,cave,upright
360,361,III,Snorunt,Yukiwarashi,Snow Hat Pokémon,ice,,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive.",,mineral,gray,cave,humanoid
361,362,III,Glalie,Onigohri,Face Pokémon,ice,,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere.",,mineral,gray,cave,ball
362,363,III,Spheal,Tamazarashi,Clap Pokémon,ice,water,This Pokémon’s body is covered in blubber and impressively round. It’s faster for Spheal to roll around than walk.,,ground,blue,sea,fish
363,364,III,Sealeo,Todoggler,Ball Roll Pokémon,ice,water,"Sealeo live on top of drift ice. They go swimming when they’re on the hunt, seeking out their prey by scent.",,ground,blue,sea,fish
364,365,III,Walrein,Todoseruga,Ice Break Pokémon,ice,water,"Walrein form herds of 20 to 30 individuals. When a threat appears, the herd’s leader will protect the group with its life.",,ground,blue,sea,quadruped
365,366,III,Clamperl,Pearlulu,Bivalve Pokémon,water,,"Despite its appearance, it’s carnivorous. It clamps down on its prey with both sides of its shell and doesn’t let go until they stop moving.",,water1,blue,sea,ball
