name,ndex,category,bio,type1,type2
Lilligant,,{{tt|Flowering|Lilligant}},"==Biology==
[NAME] is a humanoid Pokémon with plant characteristics. It dons a scarlet flower with white-spotted petals upon its head; said flower has golden filaments with red anther, resembling a crown. It possesses dark green, linear leaves under the flower, and light green, linear leaves underneath the darker leaves. One of the light green leaves, on the back of its head, is about as long as its body and resembles hair. Two light green leaves loosely hang down from its head. Its head and abdomen are white and its eyes, which resemble seeds, are a light shade of scarlet. It has dark green, linear leaves for arms, and a golden sepal under its neck. It wears a large, light green, tulip shaped collection of leaves, resembling a dress. There are two long, dark green, linear leaves coming from its back to around the bottom of its ""dress"". It also possesses another golden, sepal-shaped extension underneath its ""dress"", resembling feet.

Though [NAME] is popular with celebrities, veteran Trainers and first-rate gardeners alike have struggled to coax the flower on [NAME]'s head into blooming. The flowers bloomed by [NAME] in the wild are also said to be the most beautiful despite all these efforts. Once it blooms, it will wilt if [NAME] is then neglected or when it finds a male partner. The flower emits a sweet-smelling aroma, and it is believed to have a relaxing effect on those exposed to the scent. The flower's fragrance differs slightly depending on the soil it was cultivated in. The oil made by [NAME]'s flowers has a sublime scent and is very expensive to buy. It is a rare Pokémon that lives in forests. [NAME] is a female-only species with no male counterpart.",,
Cleffa,0173,{{tt|Star Shape|STARSHAPE in Generation II}},"In silhouette, they resemble twinkling starlight. When shooting
stars rain from the night sky, [NAME] gather in numbers and dance
as though they are indeed incarnations of the stars.",Fairy,
Runerigus,0867,Grudge,"Never touch its shadowlike body, or you’ll be
shown the horrific memories behind the picture
carved into it.",Ground,Ghost
Dugtrio,0051,Mole,"These Diglett triplets dig over 60 miles below sea
level. No one knows what it’s like underground.",Ground,
Caterpie,0010,Worm,"Its short feet are tipped with suction pads that
enable it to tirelessly climb slopes and walls.",Bug,
Zigzagoon,0263,{{tt|Tiny Raccoon|TinyRaccoon before Generation VI}},"[NAME] that adapted to regions outside
Galar acquired this appearance. If you’ve lost
something, this Pokémon can likely find it.",Normal,
Type: Null,0772,Synthetic,"It was modeled after a mighty Pokémon of myth.
The mask placed upon it limits its power in order
to keep it under control.",Normal,
Sableye,0302,Darkness,"It feeds on gemstone crystals. In darkness, its
eyes sparkle with the glitter of jewels.",Dark,Ghost
Electrike,0309,Lightning,"It stores electricity in its fur. It gives off sparks
from all over its body in seasons when the air is dry.",Electric,
Chewtle,0833,Snapping,"It starts off battles by attacking with its rock-hard
horn, but as soon as the opponent flinches, this
Pokémon bites down and never lets go.",Water,
Regigigas,0486,Colossal,"According to legend, [NAME] pulled landmasses together and
bound them with rope to create the continent of Hisui. Though I
have my doubts, the story could well contain a shred of truth.",Normal,
Golem,0076,Megaton,"The rocklike shell is shed each year. The cast-off shell then
crumbles, reverting to a mass of soil, which can be spread across
fields to promote crop growth.",Rock,Ground
Pecharunt,1025,Subjugation,Its peach-shaped shell serves as storage for a potent poison. It makes poisonous mochi and serves them to people and Pokémon.,Poison,Ghost
Bronzor,0436,Bronze,"Floats using a mysterious energy. The pattern engraved upon its
back is held as sacred and can sometimes be found in imagery
from ancient cemeteries and other such timeworn places.",Steel,Psychic
Celebi,,{{tt|Time Travel|TIMETRAVEL in Generation II}},"==Biology==
[NAME] is a green, fairy-like Pokémon. It has round toeless feet, three-fingered hands, and clear wings on its back. It has a round head that comes to a curved point. It has large baby-blue eyes with thick black rings around them, and a pair of green antennae with blue tips.

Often found in forests, [NAME] is a Mythical Pokémon, known in legend as the ""Voice of the Forest."" It is able to travel through time and exist simultaneously throughout time, and plant life flourishes wherever it has been. As seen in ''[NAME]: The Voice of the Forest'', said plant life is able to heal [NAME] when it is dying and restore the flora around it to perfect health. [NAME] also has the ability to heal wounds, and can release a telekinetic energy wave to defend itself. It was shown in Pokémon Colosseum that [NAME] has the power to instantly cause the Purification of any Shadow Pokémon and can be summoned at Relic Forest with the melody of a Time Flute.

Despite living in forests as its guardian, [NAME] only shows itself in areas and times of peace. It has been regarded that as long as [NAME] are seen throughout the world, a prosperous and bright future is still in store for the Pokémon world. As depicted in ''A Timeless Encounter!'', [NAME] can sense if something is a temporal anomaly in the current timeline and will bring them back to their original timeline. [NAME] has been referred to as a forest deity.",,
Smoochum,0238,Kiss,"This is a very curious Pokémon. [NAME]
decides what it likes and dislikes by touching
things with its lips.",Ice,Psychic
Mandibuzz,0630,Bone Vulture,"They adorn themselves with bones. There seem
to be fashion trends among them, as different
bones come into and fall out of popularity.",Dark,Flying
Scrafty,0560,Hoodlum,"While mostly known for having the temperament
of an aggressive ruffian, this Pokémon takes very
good care of its family, friends, and territory.",Dark,Fighting
Jellicent,0593,Floating,"Whenever a full moon hangs in the night sky,
schools of [NAME] gather near the surface of
the sea, waiting for their prey to appear.",Water,Ghost
Farfetch'd,0083,Wild Duck,"They use a plant stalk as a weapon, but not all
of them use it in the same way. Several distinct
styles of stalk fighting have been observed.",Normal,Flying
Quaxly,0912,Duckling,Its strong legs let it easily swim around in even fast-flowing rivers. It likes to keep things tidy and is prone to overthinking things.,Water,
Serperior,0497,Regal,"It can stop its opponents’ movements with just a
glare. It takes in solar energy and boosts
it internally.",Grass,
Arctibax,0997,Ice Fin,It attacks with the blade of its frozen dorsal fin by doing a front flip in the air. [NAME]’s strong back and legs allow it to pull off this technique.,Dragon,Ice
Arboliva,0930,Olive,"This Pokémon drives back enemies by launching its rich, aromatic oil at them with enough force to smash a boulder.",Grass,Normal
Pidgey,0016,Tiny Bird,"Very docile. If attacked, it will often kick up
sand to protect itself rather than fight back.",Normal,Flying
Duskull,0355,Requiem,"I've heard that the children of Hisui all begin to behave once
they've been told the story of how this Pokémon roams about
before the witching hour to spirit away misbehaving children.",Ghost,
Escavalier,0589,Cavalry,"It charges its enemies, lances at the ready.
An image of one of its duels is captured in a famous
painting of [NAME] clashing with Sirfetch’d.",Bug,Steel
Sizzlipede,0850,Radiator,"It wraps prey up with its heated body, cooking
them in its coils. Once they’re well-done, it will
voraciously nibble them down to the last morsel.",Fire,Bug
Quaxwell,0913,Practicing,The hardworking [NAME] observes people and Pokémon from various regions and incorporates their movements into its own dance routines.,Water,
Furfrou,0676,Poodle,"Left alone, its fur will grow longer and longer,
but it will only allow someone it trusts to cut it.",Normal,
Scyther,0123,Mantis,"The large, wickedly sharp scythes on its forearms are truly
fearsome weapons. Prey's attempts to flee are unfailingly
thwarted by this Pokémon's nimble motions.",Bug,Flying
Reuniclus,0579,Multiplying,"It’s said that drinking the liquid surrounding
[NAME] grants wisdom. Problem is, the liquid is
highly toxic to anything besides [NAME] itself.",Psychic,
Frogadier,0657,Bubble Frog,"Its swiftness is unparalleled.
It can scale a tower of more
than 2,000 feet in a minute’s time.",Water,
Misdreavus,0200,Screech,"It conceals itself in darkness, sending chills up travelers' spines
with its childlike weeping. As it observes the frightened travelers
with glee, the red orbs upon its chest let off an eerie light.",Ghost,
Klinklang,0601,Gear,"The three gears that compose this Pokémon
spin at high speed. Its new spiked gear isn’t
a living creature.",Steel,
Baltoy,0343,Clay Doll,"It was discovered in ancient ruins. While moving,
it constantly spins. It stands on one foot even
when asleep.",Ground,Psychic
Aegislash,0681,Royal Sword,"Its potent spectral powers allow it to manipulate
others. It once used its powers to force people
and Pokémon to build a kingdom to its liking.",Steel,Ghost
Bulbasaur,0001,Seed,"While it is young, it uses the nutrients that are
stored in the seed on its back in order to grow.",Grass,Poison
Totodile,0158,Big Jaw,"Despite the smallness of its body, [NAME]’s jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury.",Water,
Dottler,0825,Radome,"As it grows inside its shell, it uses its psychic
abilities to monitor the outside world and
prepare for evolution.",Bug,Psychic
Vespiquen,0416,Beehive,"Commands its subjects to build its hive. It will dispatch any
interlopers who dare sneak into its nest and use them as
nourishment for itself.",Bug,Flying
Cacnea,0331,Cactus,"The more arid and harsh the environment, the more pretty and
fragrant a flower [NAME] grows. This Pokémon battles by
wildly swinging its thorny arms.",Grass,
Mightyena,0262,Bite,"[NAME] travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokémon to obey only
those Trainers that it recognizes to possess superior skill.",Dark,
Goomy,0704,Soft Tissue,"[NAME] hides away in the shade of trees, where it's nice and
humid. If the slime coating its body dries out, the Pokémon
instantly becomes lethargic.",Dragon,
Clawitzer,0693,Howitzer,"[NAME]’s right arm is a cannon that launches
projectiles made of seawater. Shots from a
[NAME]’s cannon arm can sink a tanker.",Water,
Morpeko,0877,Two-Sided,"It carries electrically roasted seeds with it as if
they’re precious treasures. No matter how much
it eats, it always gets hungry again in short order.",Electric,Dark
Salazzle,0758,Toxic Lizard,"The winner of competitions between [NAME]
is decided by which one has the most male
Salandit with it.",Poison,Fire
Gliscor,0472,{{tt|Fang Scorpion|Fang Scorp prior to Generation VI}},"It glides soundlessly on pitch-black wings and sinks sharp fangs
into the throat of its prey. It takes on a look of satisfaction once
it has entirely drained its prey of blood.",Ground,Flying
Obstagoon,0862,Blocking,"It evolved after experiencing numerous fights.
While crossing its arms, it lets out a shout that
would make any opponent flinch.",Dark,Normal
Archeops,0567,First Bird,"Though capable of flight, [NAME] was
apparently better at hunting on the ground.",Rock,Flying
Venonat,0048,Insect,"Its large eyes act as radar. In a bright place, you
can see that they are clusters of many tiny eyes.",Bug,Poison
Spectrier,0897,Swift Horse,"As it dashes through the night, [NAME] absorbs
the life-force of sleeping creatures. It craves
silence and solitude.",Ghost,
Goldeen,0118,Goldfish,"Its dorsal and pectoral fins are strongly developed
like muscles. It can swim at a speed of five knots.",Water,
Torracat,0726,Fire Cat,"When facing a powerful enemy, [NAME]’s
fighting spirit gets pumped up, and its fire bell
blazes hotter.",Fire,
Forretress,0205,Bagworm,"In the moment that it gulps down its prey, the
inside of its shell is exposed, but to this day,
no one has ever seen that sight.",Bug,Steel
Xerneas,0716,Life,"When the horns on its head shine
in seven colors, it is said to be
sharing everlasting life.",Fairy,
Gurdurr,0533,Muscular,"[NAME] excels at demolition—construction is not
its forte. In any case, there’s skill in the way this
Pokémon wields its metal beam.",Fighting,
Croagunk,0453,Toxic Mouth,"A poison wielder with a dastardly personality. Despite such
qualities, this species is afforded a measure of popularity due
to its peculiar cry and comical features.",Poison,Fighting
Lapras,0131,Transport,"Crossing icy seas is no issue for this
cold-resistant Pokémon. Its smooth skin
is a little cool to the touch.",Water,Ice
Blastoise,0009,Shellfish,"The rocket cannons on its shell fire jets of water
capable of punching holes through thick steel.",Water,
Ducklett,0580,Water Bird,"They are better at swimming than flying, and they
happily eat their favorite food, peat moss, as they
dive underwater.",Water,Flying
Rayquaza,0384,Sky High,"It flies forever through the ozone layer, consuming
meteoroids for sustenance. The many meteoroids
in its body provide the energy it needs to Mega Evolve.",Dragon,Flying
Rillaboom,0812,Drummer,"The one with the best drumming techniques
becomes the boss of the troop. It has a gentle
disposition and values harmony among its group.",Grass,
Piloswine,0221,Swine,"The long fur of this Pokémon covers its eyes, ears, and even
limbs, allowing [NAME] to resist harshly frigid conditions.
The Pokémon's white tusks can be used to defeat its enemies.",Ice,Ground
Zygarde,,Order,"==Biology==
[NAME] is a green and black Pokémon whose form depends on the percentage of [NAME] Cores and [NAME] Cells it has assembled. [NAME] is responsible for monitoring the ecosystem of the Pokémon world for abnormalities, It has been referred to as a ""guardian of the ecosystem"" and ""protector of the ecosystems"" due to this role. It also is capable of reversing the effects of Xerneas's Fairy Aura and Yveltal's Dark Aura, thus ensuring the equilibrium of the planet and the cycle of life and death are kept in check. It can also use its Cells in attacks, either shooting them as arrows at its targets, or sending them crawling along the ground towards its targets as waves. It can also fire a powerful energy beam from its mouth at its targets, carving a Z on the ground in the process. [NAME] can fly in a blinding speed in all of its forms. Normally, [NAME] avoids getting involved in conflicts unless the ecosystem is in grave danger. As seen in the XY episode ''Down to the Fiery Finish!'', [NAME] can summon and control massive roots, which it can use to attack and cover areas. In the same episode, the green color on [NAME]'s body changed to red while under the influence of Team Flare's Mega Evolution energy weapon. In the Pokémon Adventures manga and in PTS, it has been referred to as ""Z"". In the anime, [NAME] is shown to be capable of human speech via telepathy.

[NAME] is the only known Pokémon capable of learning the moves Land's Wrath, Thousand Arrows, Thousand Waves, and Core Enforcer. It is also the only known Pokémon that can have Aura Break and Power Construct as its Abilities.",Dragon,Ground
Dracovish,0882,Fossil,"Its mighty legs are capable of running at
speeds exceeding 40 mph, but this Pokémon
can’t breathe unless it’s underwater.",Water,Dragon
Deino,0633,Irate,"Because it can’t see, this Pokémon is constantly
biting at everything it touches, trying to keep
track of its surroundings.",Dark,Dragon
Revavroom,0966,Multi-Cyl,[NAME] viciously threatens others with the sound of its exhaust. It sticks its tongue out from its cylindrical mouth and sprays toxic fluids.,Steel,Poison
Shuckle,0213,Mold,"The berries stored in its vaselike shell eventually
become a thick, pulpy juice.",Bug,Rock
Gligar,0207,{{tt|Fly Scorpion|FLYSCORPIO in Generation II; FlyScorpion in Generations III-V}},"Its tail is tipped by a thick, horrible stinger. To bring down prey,
it will first obscure their vision by covering their faces with its
body, and then it will use the stinger to inject them with venom.",Ground,Flying
Pansear,0513,High Temp,"This Pokémon lives in caves in volcanoes.
The fire within the tuft on its head can reach
600 degrees Fahrenheit.",Fire,
Celesteela,0797,Launch,"Although it’s alien to this world and a danger
here, it’s apparently a common organism in the
world where it normally lives.",Steel,Flying
Tapu Fini,0788,Land Spirit,"Although it’s called a guardian deity, terrible
calamities sometimes befall those who
recklessly approach [NAME].",Water,Fairy
Heliolisk,0695,Generator,"One [NAME] basking in the sun with its frill
outspread is all it would take to produce enough
electricity to power a city.",Electric,Normal
Swadloon,0541,Leaf-Wrapped,"It protects itself from the cold by wrapping up in
leaves. It stays on the move, eating leaves
in forests.",Bug,Grass
Steelix,0208,Iron Snake,"This Pokémon evolved through use of a strange item. Its body is
coated with steel powder and notably hard—not even diamond
can leave so much as a scratch.",Steel,Ground
Ninjask,0291,Ninja,"This Pokémon is so quick, it is said to be able to
avoid any attack. It loves to feed on tree sap.",Bug,Flying
Tauros,0128,Wild Bull,"The [NAME] of the Galar region are volatile in
nature, and they won’t allow people to ride on
their backs.",Normal,
Mabosstiff,0943,Boss,"[NAME] loves playing with children. Though usually gentle, it takes on an intimidating look when protecting its family.",Dark,
Alcremie,0869,Cream,"When [NAME] is content, the cream it
secretes from its hands becomes sweeter
and richer.",Fairy,
Drizzile,0817,Water Lizard,"Highly intelligent but also very lazy,
it keeps enemies out of its territory
by laying traps everywhere.",Water,
Boltund,0836,Dog,"It sends electricity through its legs to boost their
strength. Running at top speed, it easily breaks
50 mph.",Electric,
Ivysaur,0002,Seed,"Exposure to sunlight adds to its strength.
Sunlight also makes the bud on its back
grow larger.",Grass,Poison
Honchkrow,0430,Big Boss,"One cry from this Pokémon, and a murder of Murkrow come
flying. At such times, one would think the curtain of night had
fallen, plunging the world into jet-black darkness.",Dark,Flying
Klink,0599,Gear,"It’s suspected that [NAME] were the inspiration
behind ancient people’s invention of the
first gears.",Steel,
Pichu,0172,Tiny Mouse,"[NAME] stores electricity in the sacs on its cheeks but discharges it
inadvertently when agitated or excited. Being yet immature,
the Pokémon's handling of electricity is rather inept.",Electric,
Butterfree,0012,Butterfly,"It collects honey every day. It rubs honey onto
the hairs on its legs to carry it back to its nest.",Bug,Flying
Tympole,0535,Tadpole,"It uses sound waves to communicate with
others of its kind. People and other Pokémon
species can’t hear its cries of warning.",Water,
Swoobat,0528,Courting,"The auspicious shape of this Pokémon’s nose
apparently led some regions to consider
[NAME] a symbol of good luck.",Psychic,Flying
Vivillon,0666,Scale,"The patterns on this Pokémon’s wings
depend on the climate and topography
of its habitat. It scatters colorful scales.",Bug,Flying
Roaring Moon,1005,Paradox,"According to an article in a dubious magazine, this Pokémon has some connection to a phenomenon that occurs in a certain region.",Dragon,Dark
Leafeon,0470,Verdant,"Cells similar to those of plants have been found in its fur.
Its hard tail can fell a large tree with one stroke, and the tail's
sharpness exceeds even that of a sword crafted by a master.",Grass,
Electrode,,{{tt|Ball|Electrode}},"==Biology==
[NAME] is a round Pokémon resembling an upside-down Poké Ball with a smile mouth, black slit eyes, prominent black eyebrows that are usually depicted with an angry expression and eyes. Its top half is white, while its lower half is red. The Bandai Pokémon Carddass Cards depict [NAME] as hollow.

[NAME] tends to live in power plants where fresh electricity is being generated, which it consumes. As a result, it often causes blackouts. The more electric energy [NAME] consumes, the faster it moves. When full of stored electricity, it has been known to drift with the wind.

[NAME] explodes in response to even the smallest stimulation, simply to entertain itself, or because it has taken in too much electricity. However, unlike Voltorb, [NAME] can control its explosive ability at will. This unpredictable and explosive nature has earned it the nickname of ""Bomb Ball"". Because of its appearance, many Trainers try to pick [NAME] up, mistaking it for an item. As seen in the anime, if [NAME] explode to defend themselves, this also results in them using up their energy and becoming extremely worn out.",,
Charjabug,0737,Battery,"Its digestive processes convert the leaves it eats
into electricity. An electric sac in its belly stores
the electricity for later use.",Bug,Electric
Crabrawler,0739,Boxing,"[NAME] has been known to mistake
Exeggutor for a coconut tree and climb it. The
enraged Exeggutor shakes it off and stomps it.",Fighting,
Turtonator,0776,Blast Turtle,"Eating sulfur in its volcanic habitat is what causes
explosive compounds to develop in its shell.
Its droppings are also dangerously explosive.",Fire,Dragon
Sawsbuck,0586,Season,"They migrate according to the seasons, so some
people call [NAME] the harbingers of spring.",Normal,Grass
Nihilego,0793,Parasite,"It appeared in this world from an Ultra
Wormhole. [NAME] appears to be a parasite
that lives by feeding on people and Pokémon.",Rock,Poison
Gothitelle,0576,Astral Body,"A criminal who was shown his fate by a [NAME]
went missing that same day and was never
seen again.",Psychic,
Tandemaus,0924,Couple,The pair sticks together no matter what. They split any food they find exactly in half and then eat it together.,Normal,
Charmeleon,0005,Flame,"If it becomes agitated during battle, it spouts
intense flames, incinerating its surroundings.",Fire,
Hawlucha,0701,Wrestling,"It always strikes a pose before going for its
finishing move. Sometimes opponents take
advantage of that time to counterattack.",Fighting,Flying
Dustox,0269,Poison Moth,"Tends to be drawn to bonfires on dark nights. Difficult to chase
away from settlements because of the way it scatters highly
toxic scales.",Bug,Poison
Carvanha,0318,Savage,"These Pokémon have sharp fangs and powerful
jaws. Sailors avoid [NAME] dens at all costs.",Water,Dark
Cranidos,0408,Head Butt,"An incredibly rare sight. They duel each other by ramming their
heads together, and the resulting sound echoes throughout the
area like the pealing of a bell.",Rock,
Shellder,0090,Bivalve,"Its hard shell repels any kind of attack. It is
vulnerable only when its shell is open.",Water,
Glaceon,0471,Fresh Snow,"[NAME] is able to lower its body temperature very quickly.
It freezes the atmosphere, creating diamond dust that glitters
like gems while it flutters and dances around.",Ice,
Froakie,0656,Bubble Frog,"It protects its skin by covering its body in
delicate bubbles. Beneath its happy-go-lucky air,
it keeps a watchful eye on its surroundings.",Water,
Natu,0177,{{tt|Tiny Bird|LITTLEBIRD in Gold and Silver; LITTLE BIRD in Crystal}},"Because its wings aren’t yet fully grown, it has to
hop to get around. It is always staring
at something.",Psychic,Flying
Timburr,0532,Muscular,"[NAME] that have started carrying logs that are
about three times their size are nearly ready
to evolve.",Fighting,
Ursaluna,0901,Peat,"I believe it was Hisui's swampy terrain that gave [NAME] its
burly physique and newfound capacity to manipulate peat
at will.",Ground,Normal
Darkrai,0491,Pitch-Black,"On a moonless night, a strange incident occurred in which every
one of a village's inhabitants suffered nightmares. The villagers
attested that [NAME] appeared before them in these nightmares.",Dark,
Darmanitan,0555,"{{tt|Blazing|Darmanitan, Zen Mode Darmanitan, Galarian Zen Mode Darmanitan}}","This Pokémon’s power level rises along with the
temperature of its fire, which can reach 2,500
degrees Fahrenheit.",Fire,
Frosmoth,0873,Frost Moth,"It shows no mercy to any who desecrate fields
and mountains. It will fly around on its icy wings,
causing a blizzard to chase offenders away.",Ice,Bug
Magmortar,0467,Blast,"Use of a strange item caused this Pokémon to evolve. Fireballs
launched from the ends of its tubelike arms are hot enough to
melt an iron pot in an instant.",Fire,
Reshiram,0643,Vast White,"According to myth, if people ignore truth and
let themselves become consumed by greed,
[NAME] will arrive to burn their kingdoms down.",Dragon,Fire
Swinub,0220,Pig,"[NAME] excels at sniffing out mushrooms buried beneath grass or
snow. Since ancient times, the people of Hisui have often relied
upon this skill.",Ice,Ground
Honedge,0679,Sword,"The blue eye on the sword’s handguard is the
true body of [NAME]. With its old cloth, it
drains people’s lives away.",Steel,Ghost
Happiny,0440,Playhouse,"In imitation of Chansey, it keeps a round stone tucked into its
belly pouch and cherishes it dearly. It gets along well with
children and will sometimes play house with them for fun.",Normal,
Litleo,0667,Lion Cub,"This hot-blooded Pokémon is filled with
curiosity. When it gets angry or starts
fighting, its short mane gets hot.",Fire,Normal
Krabby,0098,River Crab,"If it senses danger approaching, it cloaks itself
with bubbles from its mouth so it will look bigger.",Water,
Nidoran♂,0032,Poison Pin,"Small but brave, this Pokémon will hold its
ground and even risk its life in battle to protect
the female it’s friendly with.",Poison,
Dhelmise,0781,Sea Creeper,"After lowering its anchor, it waits for its prey. It
catches large Wailord and drains their life-force.",Ghost,Grass
Vileplume,0045,Flower,"The larger its petals, the more toxic pollen it
contains. Its big head is heavy and hard to hold up.",Grass,Poison
Swalot,0317,Poison Bag,"[NAME] has no teeth, so what it eats, it swallows whole, no
matter what. Its cavernous mouth yawns widely. An automobile
tire could easily fit inside this Pokémon’s mouth.",Poison,
Bramblin,0946,Tumbleweed,"Not even [NAME] knows where it is headed as it tumbles across the wilderness, blown by the wind. It loathes getting wet.",Grass,Ghost
Furret,0162,Long Body,"[NAME] has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokémon is very nimble and fleet.",Normal,
Zekrom,0644,Deep Black,"Mythology tells us that if people lose the
righteousness in their hearts, their kingdoms
will be razed by [NAME]’s lightning.",Dragon,Electric
Volcanion,0721,Steam,"It expels its internal steam from the
arms on its back. It has enough
power to blow away a mountain.",Fire,Water
Shiinotic,0756,Illuminating,"If you see a light deep in a forest at night,
don’t go near. [NAME] will make you fall
fast asleep.",Grass,Fairy
Meloetta,0648,Melody,"Its melodies are sung with a special vocalization
method that can control the feelings of those who
hear it.",Normal,Psychic
Pikipek,0731,Woodpecker,"It may look spindly, but its neck muscles are
heavy-duty. It can peck at a tree 16 times
per second!",Normal,Flying
Luxio,0404,Spark,"Proudly uses its electrified claws as weapons. It seems to be a
gracious Pokémon, evenly sharing the spoils of the hunt with
others of its kind.",Electric,
Clodsire,0980,Spiny Fish,It lives at the bottom of ponds and swamps. It will carry Wooper on its back and ferry them across water from one shore to the other.,Poison,Ground
Barraskewda,0847,Skewer,"It spins its tail fins to propel itself, surging
forward at speeds of over 100 knots before
ramming prey and spearing into them.",Water,
Swanna,0581,White Bird,"[NAME] start to dance at dusk. The one dancing in
the middle is the leader of the flock.",Water,Flying
Skarmory,0227,Armor Bird,"People fashion swords from [NAME]’s shed
feathers, so this Pokémon is a popular element
in heraldic designs.",Steel,Flying
Slither Wing,0988,Paradox,This Pokémon somewhat resembles an ancient form of Volcarona that was introduced in a dubious magazine.,Bug,Fighting
Aromatisse,0683,Fragrance,"The scents [NAME] can produce range from
sweet smells that bolster allies to foul smells
that sap an opponent’s will to fight.",Fairy,
Zamazenta,0889,Warrior,"This Pokémon slept for aeons while in the form of
a statue. It was asleep for so long, people forgot
that it ever existed.",Fighting,
Kilowattrel,0941,Frigatebird,"It uses its throat sac to store electricity generated by its wings. There’s hardly any oil in its feathers, so it is a poor swimmer.",Electric,Flying
Nidoran♀,0029,Poison Pin,"It uses its hard incisor teeth to crush and eat
berries. The tip of a female Nidoran’s horn is a
bit more rounded than the tip of a male’s horn.",Poison,
Golurk,0623,Automaton,"There’s a theory that inside [NAME] is a perpetual
motion machine that produces limitless energy,
but this belief hasn’t been proven.",Ground,Ghost
Slugma,0218,Lava,"[NAME] does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokémon’s body,
carrying essential nutrients and oxygen to its organs.",Fire,
Iron Boulder,1022,Paradox,It was named after a mysterious object recorded in an old book. Its body seems to be metallic.,Rock,Psychic
Girafarig,0203,Long Neck,"[NAME]’s rear head contains a tiny brain that is too small for
thinking. However, the rear head doesn’t need to sleep, so it
can keep watch over its surroundings 24 hours a day.",Normal,Psychic
Landorus,0645,Abundance,"When the incarnations of wind and of lightning clash, [NAME]
arrives to quell the conflict. After the tempests and thunderbolts
abate, the land is sure to be blessed with bountiful harvests.",Ground,Flying
Seviper,0336,Fang Snake,"[NAME]’s swordlike tail serves two purposes—it slashes foes
and douses them with secreted poison. This Pokémon will not
give up its long-running blood feud with Zangoose.",Poison,
Squirtle,0007,{{tt|Tiny Turtle|TinyTurtle prior to Generation III}},"When it feels threatened, it draws its limbs inside
its shell and sprays water from its mouth.",Water,
Swellow,0277,Swallow,"[NAME] is very conscientious about the upkeep of its glossy
wings. Once two [NAME] are gathered, they diligently take
care of cleaning each other’s wings.",Normal,Flying
Ambipom,0424,Long Tail,"To affirm their kinship, members of this species will form a ring
by linking their newly doubled tails together. On rare occasions,
humans have been accepted into such rings.",Normal,
Zeraora,0807,Thunderclap,"Electricity sparks from the pads on its limbs.
Wherever [NAME] runs, lightning flashes and
thunder echoes.",Electric,
Staraptor,0398,Predator,"It has left the flock, having gained strength enough to survive on
its own. The astounding force with which [NAME] flies through
the air allows it to carry away large, burly targets.",Normal,Flying
Doduo,0084,Twin Bird,"Its short wings make flying difficult. Instead, this
Pokémon runs at high speed on developed legs.",Normal,Flying
Koraidon,1007,Paradox,"This Pokémon resembles Cyclizar, but it is far burlier and more ferocious. Nothing is known about its ecology or other features.",Fighting,Dragon
Shinx,0403,Flash,"Shakes its body to generate electricity. Its stature belies its
aggression—one must be patient to tame this Pokémon.",Electric,
Mawile,0303,Deceiver,"It chomps with its gaping mouth. Its huge jaws are
actually steel horns that have been transformed.",Steel,Fairy
Poochyena,0261,Bite,"[NAME] is an omnivore—it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokémon tries to intimidate its foes by making the hair on its
tail bristle out.",Dark,
Scovillain,0952,Spicy Pepper,"The green head has turned vicious due to the spicy chemicals stimulating its brain. Once it goes on a rampage, there is no stopping it.",Grass,Fire
Golisopod,0768,Hard Scale,"They live in sunken ships or in holes in the
seabed. When [NAME] and Grapploct
battle, the loser becomes the winner’s meal.",Bug,Water
Zoroark,0571,{{tt|Illusion Fox|Zoroark}},"With its disheveled white fur, it looks like an embodiment of
death. Heedless of its own safety, [NAME] attacks its nemeses
with a bitter energy so intense, it lacerates [NAME]'s own body.",Dark,
Illumise,0314,Firefly,"[NAME] leads a flight of illuminated Volbeat to draw signs in
the night sky. This Pokémon is said to earn greater respect
from its peers by composing more complex designs in the sky.",Bug,
Jolteon,0135,Lightning,"Bristles its fur into sharp, needlelike points when enraged.
One can hear electricity crackle in its breath when it exhales.",Electric,
Raboot,0814,Rabbit,"It kicks berries right off the branches of trees
and then juggles them with its feet, practicing
its footwork.",Fire,
Volbeat,0313,Firefly,"[NAME]’s tail glows like a lightbulb. With other [NAME],
it uses its tail to draw geometric shapes in the night sky.
This Pokémon loves the sweet aroma given off by Illumise.",Bug,
Dracozolt,0880,Fossil,"The powerful muscles in its tail generate its
electricity. Compared to its lower body,
its upper half is entirely too small.",Electric,Dragon
Lokix,0920,Grasshopper,"It uses its normally folded third set of legs when in Showdown Mode. This places a huge burden on its body, so it can’t stay in this mode for long.",Bug,Dark
Foongus,0590,Mushroom,"The spores released from this Pokémon’s hands
are highly poisonous, but when thoroughly dried,
the spores can be used as stomach medicine.",Grass,Poison
Talonflame,0663,Scorching,"[NAME] dives toward prey at speeds of up to
310 mph and assaults them with powerful kicks,
giving the prey no chance to escape.",Fire,Flying
Archaludon,1018,Alloy,"It digs holes on mountains, searching for food. It’s so durable that being caught in a cave-in won’t faze it.",Steel,Dragon
